Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2019-01-01,492.16033935546875,494.92631018149046,487.3748563795869,494.02628089429294,9746670
2019-01-02,485.7503967285156,494.7945619838684,483.3795773481206,489.306581838059,15628818
2019-01-03,479.75750732421875,489.3504523846217,478.59406358072494,486.2332918223328,16288287
2019-01-04,482.34783935546875,484.8942684657202,474.64275698802885,481.7990589269874,18516544
2019-01-07,485.0260009765625,491.04081062951855,483.37960099081903,486.0138351065351,12060290
2019-01-08,484.98211669921875,487.30900453877155,481.1844385650924,485.17967767113703,12304389
2019-01-09,487.66021728515625,490.404207556983,482.36982701805084,488.20902706246886,12614237
2019-01-10,486.2333679199219,487.7700118794637,484.2576995761503,486.34312401597936,8925160
2019-01-11,482.0844421386719,488.9992809385182,477.9355447202375,486.2772419929683,14139060
2019-01-14,481.53564453125,483.1600639076289,476.96964482746466,480.7453714065263,8994060
2019-01-15,495.9580383300781,496.9897749138128,485.1357651565029,485.1357651565029,22011407
2019-01-16,498.7019958496094,502.69723461043577,496.2653228177243,498.306815325182,13961606
2019-01-17,498.06536865234375,503.97039246811886,496.1116224483651,502.4557292118783,16379077
2019-01-18,519.9733276367188,522.4100008817076,498.41664430852626,504.36557122826366,56181172
2019-01-21,543.3959350585938,544.383769194861,521.8611743338612,524.2100426269034,48206814
2019-01-22,542.2763061523438,547.4569687081196,535.449273173231,541.2665502678798,36207430
2019-01-23,538.3909301757812,546.249700685249,536.5030668114781,541.4641593130693,19313542
2019-01-24,547.6765747070312,550.201052772876,535.668935729234,537.8202137708099,28775487
2019-01-25,547.0399780273438,555.2499685277737,542.3862022930728,548.9937244726901,18703992
2019-01-28,539.8178100585938,551.4084053202087,536.6786978354152,549.0156345392434,18744303
2019-01-29,531.52001953125,540.739824619189,527.4369755526064,540.4544294637602,20405845
2019-01-30,524.956298828125,537.8201210369849,522.9367284466216,533.4297608362776,17164298
2019-01-31,538.76416015625,539.8837016448178,527.2833501130928,527.7223744978767,22279301
2019-02-01,548.7741088867188,550.9912697835011,538.7202167802149,541.7715239446998,20187323
2019-02-04,566.7528076171875,569.4089933092192,545.3058490118974,547.4790492219286,25528059
2019-02-05,567.0380859375,572.6797543679849,561.3525736837839,567.2356762157251,20479210
2019-02-06,575.248046875,578.4969443479488,568.2234813151639,569.1015300296182,20586783
2019-02-07,566.5332641601562,580.0555673860662,564.6454006229774,575.2481036630054,20150710
2019-02-08,560.9573364257812,570.9673832984307,558.5645661262954,564.0744674954657,14230054
2019-02-11,550.2230224609375,560.2111501910281,549.2351882289391,560.1672477499336,16457901
2019-02-12,551.6058959960938,558.6085394528168,549.454618090121,549.454618090121,13998153
2019-02-14,537.468994140625,544.8448388655969,534.7469841181912,544.8448388655969,14496604
2019-02-15,546.3594360351562,548.7522067587659,532.9907630566468,539.905601992391,20994460
2019-02-18,535.6689453125,549.8937455496505,533.4298623563013,548.7961259832166,21106139
2019-02-19,533.9127807617188,544.2740490561507,531.7615027155555,534.746927071864,13658461
2019-02-20,541.9251708984375,544.4057464872667,535.1859417319527,537.315297828148,13776558
2019-02-21,547.4351196289062,552.2206614658907,539.7300362045626,542.6496364066619,23142949
2019-02-22,541.047119140625,546.7326311826724,538.2592265113346,546.4253141283368,19152470
2019-02-25,541.0250854492188,545.7228215194853,535.9103055821321,542.6495340486669,17176522
2019-02-26,535.7347412109375,542.1227507621444,529.4784975816735,531.0150828324456,22160532
2019-02-27,537.1615600585938,546.5569736868337,530.7955315021815,539.1592086593514,24308835
2019-02-28,540.4763793945312,544.3399113826503,538.5007109600326,541.6618039011265,24688859
2019-03-01,538.2811889648438,545.437521085178,536.6128962585103,543.0886526423104,17329606
2019-03-05,543.3740234375,544.3179551548027,535.01034529479,537.1177209177522,15577500
2019-03-06,555.2937622070312,558.9377811369241,542.2543887713153,544.3178616019535,26332276
2019-03-07,557.6866455078125,561.8794163559902,552.374274542608,554.9426551471773,17738092
2019-03-08,556.3036499023438,559.5305668632138,554.0645670566271,555.8426450180096,13211934
2019-03-11,572.5480346679688,576.0163858071566,556.6987859864475,557.5988152526922,21258869
2019-03-12,584.5117797851562,585.6752236907259,577.004228484986,578.1676723905557,24561597
2019-03-13,591.514404296875,597.0901309268615,583.0849020828238,586.9923361362776,24577591
2019-03-14,588.9899291992188,597.9682412177626,586.597158491068,592.5900462168715,22753310
2019-03-15,580.2531127929688,596.5633076230489,575.6651616250549,590.5045955196236,34764353
2019-03-18,592.7217407226562,596.1901503560632,583.4800142850978,584.358062994956,22104063
2019-03-19,604.3562622070312,605.8709256000316,589.6704573314679,597.0901450734108,21448030
2019-03-20,603.8732299804688,609.3831319669957,598.8462547664252,604.9049664835946,21639437
2019-03-22,589.0776977539062,606.2659987862005,586.8605955429456,602.5780771230353,25078643
2019-03-25,581.4823608398438,586.9264386410848,578.079834194593,584.1824485228956,17394088
2019-03-26,600.273193359375,602.1829786083704,583.9190379328376,584.0507452391568,20734876
2019-03-27,592.3705444335938,604.9708956018399,590.1753639582602,604.9708956018399,22079870
2019-03-28,597.0901489257812,601.3927636496903,589.5387538233233,592.8095733427508,22930248
2019-04-01,611.073486328125,617.6370469715444,598.2097210395258,601.4805404060451,22088854
2019-04-02,610.1295166015625,616.0126184352167,605.9147658274117,613.7735357498698,17526740
2019-04-03,603.7636108398438,615.9688413178088,602.3586740910571,611.468694507842,17169813
2019-04-04,594.0388793945312,607.4953570272706,591.4924208765013,605.4318839200814,18320845
2019-04-05,594.4119873046875,598.8023478877756,589.6265048197731,597.5071967910903,14717266
2019-04-08,583.5897216796875,595.9925402901825,581.1531072834083,595.3340037796654,19081843
2019-04-09,585.8727416992188,588.6166730223671,579.9676594096998,583.4360687871089,20774977
2019-04-10,584.5337524414062,591.8217921859289,582.3824741941812,587.4094502804098,16651949
2019-04-11,591.294921875,594.0169316726523,583.4800533747783,585.2142290002944,12558520
2019-04-12,589.67041015625,595.7291218582739,586.8386152571238,592.6997366998963,12948769
2019-04-15,588.3751831054688,592.2387140064355,586.1141201369826,590.5044801749748,9285737
2019-04-16,589.955810546875,597.0901026321225,588.3093813443732,590.5045616663105,17360317
2019-04-18,608.4832153320312,610.1515079667136,599.2853908560862,603.6757518610393,39286534
2019-04-22,590.6582641601562,600.1634051546769,588.8801276110681,597.0901174588109,23607922
2019-04-23,598.7803955078125,602.7975558940527,590.9436063688278,591.8216549948711,19807450
2019-04-24,610.0416870117188,612.3685744682739,599.8340494283602,601.6121858050557,16101112
2019-04-25,602.5341796875,620.0956808595814,598.23162391636,609.8661206409165,30469914
2019-04-26,611.4906005859375,612.8736153854356,601.7879267649873,603.675790323463,15069884
2019-04-30,611.4906005859375,613.0711470605494,600.0756729687196,613.0711470605494,22348580
2019-05-02,616.8687744140625,620.7542278192966,606.792843237784,611.1393015161802,18992003
2019-05-03,618.5369873046875,622.3346939660453,615.814978080462,618.1418654420181,14240262
2019-05-06,608.0220947265625,615.8808640481577,605.0366122978761,613.7734888222072,15832114
2019-05-07,589.8460693359375,612.4564693758119,588.3972302859263,612.3686645009468,19417647
2019-05-08,570.5064697265625,588.3094057353183,567.323455197051,588.3094057353183,31958919
2019-05-09,551.6279296875,565.8307496177885,549.5644564516767,565.8307496177885,42670173
2019-05-10,549.3009643554688,560.9573825799066,546.600876831225,555.381597801198,24557430
2019-05-13,540.9154052734375,553.5376779473742,538.9177565223732,547.8741464995269,17603659
2019-05-14,553.3840942382812,557.2915285754101,540.6739570327596,542.869137618089,28438234
2019-05-15,551.8253784179688,561.0890846748819,549.0594665779039,558.8939044527434,24419559
2019-05-16,555.5353393554688,558.4110368880793,552.3523247652469,553.1645491534448,14451308
2019-05-17,556.4353637695312,560.6281343696629,549.6741541020417,556.2597540238546,17276949
2019-05-20,582.1190185546875,587.2996821286616,572.2845792821305,576.7189014035118,26979100
2019-05-21,588.2216186523438,600.1634332841762,583.9410430942725,584.8849748034179,30343560
2019-05-22,588.4849853515625,596.9583895178074,586.158097749847,590.7899510437852,24689918
2019-05-23,585.6312866210938,611.1393047745814,581.7238526702412,602.3585833012978,38766006
2019-05-24,586.9264526367188,594.368120721531,577.9920431069054,591.8217208081062,22269265
2019-05-27,575.4236450195312,587.2118297692456,573.8211768405849,587.0362200298944,16076686
2019-05-28,581.1749877929688,586.0263529450197,576.6090177491776,579.4408124647754,42594251
2019-05-29,576.4774169921875,585.3679246601521,572.5699826898903,579.9677488164211,15558515
2019-05-30,583.8093872070312,589.1875827858743,577.8823818063288,577.8823818063288,23494381
2019-05-31,583.9849853515625,589.1436686219628,579.6165460063019,587.3875123958014,25724066
2019-06-03,597.1780395507812,600.27324946066,580.055560596422,586.1142730975511,18556942
2019-06-04,593.4241333007812,603.3463760201948,591.865567655254,595.9705329750439,15442761
2019-06-06,582.755615234375,597.9243468397755,580.0116249977124,597.9243468397755,16764835
2019-06-07,577.28955078125,582.711647685799,573.2065073639493,582.1409160681436,14722419
2019-06-10,579.1554565429688,582.6018855244557,575.1821983549507,579.9237784431921,11768468
2019-06-11,583.5458374023438,585.8947056183694,578.6506279330907,580.3409010033756,11492074
2019-06-12,584.8629760742188,587.6069662416675,581.72386398344,585.9825174976876,10297599
2019-06-13,582.7117309570312,585.9825505400214,574.5456429554717,583.9190773204309,15686169
2019-06-14,578.4530029296875,581.7238220927068,574.8748667373196,580.3627880622902,14942768
2019-06-17,562.9769897460938,579.5286768149043,561.3086385856419,579.5286768149043,14908257
2019-06-18,562.40625,565.4575571394796,557.1816844166898,561.4842402548358,16797371
2019-06-19,560.8037109375,571.6259832556048,554.327955411951,564.9965399043136,14492763
2019-06-20,569.321044921875,570.7479620117655,561.0891330330602,561.9671817516997,10748848
2019-06-21,561.7477416992188,568.9918790170626,560.0135659498743,568.9698984889072,23236832
2019-06-24,554.2401733398438,560.4086120823438,551.9132856368518,558.5207487356269,11267228
